Time (UTC),Amplitude (a.u.),R-R (ms)
13:30:02.537 -> 101      56900,,
13:30:02.647 -> 0      113,,
13:30:02.760 -> 102      114,,
13:30:02.872 -> 1      115,,
13:30:03.013 -> 103      115,,
13:30:03.123 -> 70      114,,
13:30:03.233 -> 104      114,,
13:30:03.344 -> 0      114,,
13:30:03.451 -> 105      116,,
13:30:03.562 -> 1      113,,
13:30:03.781 -> 111      206,,
13:30:03.853 -> 28      65,,
13:30:05.487 -> 112      1649,,
13:30:05.561 -> 0      66,,
13:30:39.149 -> ,,
13:30:42.164 -> ,,
13:30:42.164 -> A: 0 Writing A: 0,,
13:30:42.414 -> B: 1 Writing B: 01,,
13:30:43.038 -> C: 40 Writing C: 0220,,
13:30:44.551 -> D: 0 Writing D: 0000,,
13:30:45.541 -> Writing Complete ,,
13:30:45.650 -> ,,
13:30:46.804 -> 0      41211,,
13:30:46.948 -> 102      115,,
13:30:47.062 -> 5      115,,
13:30:47.174 -> 103      115,,
13:30:47.282 -> 40      114,,
13:30:47.392 -> 104      114,,
13:30:47.504 -> 0      115,,
13:30:47.615 -> 105      116,,
13:30:47.727 -> 12      112,,
13:30:47.945 -> 111      207,,
13:30:48.020 -> 41      66,,
13:30:49.676 -> 112      1647,,
13:30:49.714 -> 0      66,,
13:30:51.365 -> 113      1650,,
13:30:51.441 -> 102      64,,
13:30:51.552 -> 101      117,,
13:30:51.661 -> 0      112,,
13:30:51.806 -> 102      116,,
13:30:51.914 -> 5      116,,
13:30:52.024 -> 103      115,,
13:30:52.130 -> 40      113,,
13:30:52.238 -> 104      115,,
13:30:52.378 -> 0      114,,
13:30:52.486 -> 105      115,,
13:30:52.595 -> 0      114,,
13:30:52.811 -> 111      207,,
13:30:52.881 -> 143      65,,
13:30:54.510 -> 112      1648,,
13:30:54.582 -> 0      65,,
13:30:56.242 -> 113      1649,,
13:30:56.317 -> 102      66,,
13:30:56.422 -> 101      116,,
13:30:56.526 -> 0      114,,
13:30:56.633 -> 102      115,,
13:30:56.742 -> 5      115,,
13:30:56.887 -> 103      115,,
13:30:56.887 -> ,,
13:30:59.884 -> ,,
13:30:59.884 -> A: 0 Writing A: 0,,
13:31:00.137 -> B: 1 Writing B: 01,,
13:31:00.815 -> C: 40 Writing C: 0220,,
13:31:02.307 -> D: 0 Writing D: 0000,,
13:31:03.291 -> Writing Complete ,,
13:31:03.397 -> ,,
13:31:04.550 -> 0      7678,,
13:31:04.661 -> 102      115,,
13:31:04.803 -> 5      116,,
13:31:04.909 -> 103      114,,
13:31:05.016 -> 56      114,,
13:31:05.123 -> 104      115,,
13:31:05.233 -> 0      113,,
13:31:05.382 -> 105      117,,
13:31:05.490 -> 12      114,,
13:31:05.670 -> 111      207,,
13:31:05.741 -> 102      64,,
13:31:07.396 -> 112      1649,,
13:31:07.467 -> 102      65,,
13:31:09.137 -> 113      1650,,
13:31:09.172 -> 102      64,,
13:31:09.320 -> 101      117,,
13:31:09.422 -> 0      114,,
13:31:09.534 -> 102      116,,
13:31:09.642 -> 5      115,,
13:31:09.782 -> 103      115,,
13:31:09.892 -> 56      114,,
13:31:09.999 -> 104      115,,
13:31:10.109 -> 0      114,,
13:31:10.218 -> 105      116,,
13:31:10.328 -> 0      113,,
13:31:10.546 -> 111      207,,
13:31:10.621 -> 204      65,,
13:31:12.250 -> 112      1648,,
13:31:12.325 -> 102      66,,
13:31:13.241 -> ,,
13:31:16.263 -> ,,
13:31:16.263 -> A: 0 Writing A: 0,,
13:31:16.513 -> B: 1 Writing B: 01,,
13:31:17.162 -> C: 70 Writing C: 1012,,
13:31:18.708 -> D: 0 Writing D: 0000,,
13:31:19.718 -> Writing Complete ,,
13:31:19.789 -> ,,
13:31:20.839 -> 101      8518,,
13:31:20.982 -> 0      112,,
13:31:21.093 -> 102      116,,
13:31:21.197 -> 5      115,,
13:31:21.305 -> 103      114,,
13:31:21.446 -> 70      114,,
13:31:21.556 -> 104      115,,
13:31:21.666 -> 5      116,,
13:31:21.772 -> 105      114,,
13:31:21.882 -> 12      113,,
13:31:22.102 -> 111      207,,
13:31:22.184 -> 35      65,,
13:31:23.820 -> 112      1647,,
13:31:23.892 -> 0      65,,
13:31:25.536 -> 113      1650,,
13:31:25.611 -> 102      65,,
13:31:25.725 -> 101      116,,
13:31:25.835 -> 0      114,,
13:31:25.945 -> 102      116,,
13:31:26.053 -> 5      115,,
13:31:26.161 -> 103      115,,
13:31:26.305 -> 70      114,,
13:31:26.412 -> 104      115,,
13:31:26.519 -> 5      115,,
13:31:26.626 -> 105      115,,
13:31:26.730 -> 0      114,,
13:31:26.953 -> 111      207,,
13:31:28.656 -> 112      1715,,
13:31:28.725 -> 0      65,,
13:31:30.400 -> 113      1651,,
13:31:30.437 -> 102      65,,
13:31:30.585 -> 101      117,,
13:31:30.695 -> 0      114,,
13:31:30.806 -> 102      114,,
13:31:30.910 -> 5      114,,
13:31:31.016 -> 103      115,,
13:31:31.163 -> 70      114,,
13:31:31.272 -> 104      115,,
13:31:31.385 -> 5      115,,
13:31:31.490 -> 105      115,,
13:31:31.604 -> 0      113,,
13:31:31.818 -> 111      207,,
13:31:31.888 -> 131      66,,
13:31:33.527 -> 112      1648,,
13:31:33.606 -> 0      66,,
13:31:35.230 -> 113      1652,,
13:31:35.303 -> 102      64,,
13:31:35.445 -> 101      117,,
13:31:35.557 -> 0      113,,
13:31:35.665 -> 102      114,,
13:31:35.774 -> 5      116,,
13:31:35.886 -> 103      115,,
13:31:35.998 -> 70      113,,
13:31:36.111 -> 104      115,,
13:31:36.220 -> 5      116,,
13:31:36.367 -> 105      115,,
13:31:36.479 -> 0      114,,
13:31:36.552 -> ,,
13:31:39.535 -> ,,
13:31:39.535 -> A: 0 Writing A: 0,,
13:31:39.790 -> B: 1 Writing B: 01,,
13:31:40.453 -> C: 70 Writing C: 1012,,
13:31:42.012 -> D: 0 Writing D: 0000,,
13:31:42.990 -> Writing Complete ,,
13:31:43.103 -> ,,
13:31:44.150 -> 101      7684,,
13:31:44.262 -> 0      113,,
13:31:44.372 -> 102      116,,
13:31:44.512 -> 1      114,,
13:31:44.621 -> 103      115,,
13:31:44.727 -> 70      114,,
13:31:44.841 -> 104      114,,
13:31:44.953 -> 1      115,,
13:31:45.065 -> 105      116,,
13:31:45.174 -> 12      112,,
13:31:45.393 -> 111      207,,
13:31:45.466 -> 35      66,,
13:31:47.097 -> 112      1646,,
13:31:47.172 -> 0      66,,
13:31:48.842 -> 113      1651,,
13:31:48.879 -> 102      65,,
13:31:49.023 -> 124      116,,
13:31:49.062 -> 124      65,,
13:31:49.200 -> 111      139,,
13:31:49.273 -> 78      65,,
13:31:50.949 -> 112      1649,,
13:31:50.983 -> 0      65,,
13:31:52.667 -> 113      1651,,
13:31:52.706 -> 102      65,,
13:31:52.924 -> 72      209,,
13:31:53.068 -> 72      144,,
13:31:53.220 -> 70      144,,
13:31:53.356 -> 70      146,,
13:31:53.499 -> 70      145,,
13:31:53.641 -> 72      146,,
13:31:53.862 -> 111      194,,
13:31:53.900 -> 50      66,,
13:31:55.555 -> 112      1648,,
13:31:55.628 -> 0      66,,
13:31:57.266 -> 113      1651,,
13:31:57.342 -> 102      64,,
13:31:57.553 -> 70      219,,
13:31:57.697 -> 71      146,,
13:31:57.846 -> 70      144,,
13:31:57.990 -> 70      144,,
13:31:58.134 -> 72      145,,
13:31:58.283 -> 73      146,,
13:31:58.464 -> 111      183,,
13:31:58.535 -> 50      65,,
13:32:00.176 -> 112      1650,,
13:32:00.248 -> 0      65,,
13:32:01.928 -> 113      1651,,
13:32:01.966 -> 102      65,,
13:32:02.221 -> 72      245,,
13:32:02.363 -> 70      146,,
13:32:02.505 -> 72      145,,
13:32:02.648 -> 71      145,,
13:32:02.793 -> 71      145,,
13:32:02.937 -> 70      144,,
13:32:03.119 -> 111      160,,
13:32:03.155 -> 50      65,,
13:32:04.815 -> 112      1649,,
13:32:04.887 -> 0      66,,
13:32:06.547 -> 113      1650,,
13:32:06.622 -> 102      66,,
13:32:06.728 -> 71      117,,
13:32:06.870 -> 70      145,,
13:32:07.019 -> 71      146,,
13:32:07.165 -> 70      144,,
13:32:07.311 -> 71      146,,
13:32:07.458 -> 71      145,,
13:32:07.600 -> 71      145,,
13:32:07.745 -> 111      138,,
13:32:07.820 -> 49      66,,
13:32:09.471 -> 112      1649,,
13:32:09.543 -> 0      65,,
13:32:11.162 -> 113      1652,,
13:32:11.233 -> 102      64,,
13:32:11.379 -> 70      130,,
13:32:11.523 -> 70      146,,
13:32:11.669 -> 70      144,,
13:32:11.812 -> 71      147,,
13:32:11.955 -> 71      144,,
13:32:12.100 -> 73      146,,
13:32:12.245 -> 73      146,,
13:32:12.351 -> 111      128,,
13:32:12.424 -> 49      65,,
13:32:14.070 -> 112      1650,,
13:32:14.140 -> 0      65,,
13:32:15.803 -> 113      1652,,
13:32:15.874 -> 102      65,,
13:32:16.018 -> 71      150,,
13:32:16.164 -> 72      145,,
13:32:16.306 -> 72      144,,
13:32:16.447 -> 71      145,,
13:32:16.580 -> 70      132,,
13:32:16.760 -> 70      158,,
13:32:16.903 -> 72      146,,
13:32:17.008 -> 111      106,,
13:32:17.077 -> 53      67,,
13:32:18.730 -> 112      1648,,
13:32:18.767 -> 0      66,,
13:32:20.422 -> 113      1651,,
13:32:20.493 -> 102      64,,
13:32:20.669 -> 70      176,,
13:32:20.814 -> 71      148,,
13:32:20.958 -> 70      144,,
13:32:21.105 -> 70      146,,
13:32:21.246 -> 73      146,,
13:32:21.416 -> 71      145,,
13:32:21.562 -> 70      144,,
13:32:21.636 -> 111      89,,
13:32:21.710 -> 58      65,,
13:32:23.365 -> 112      1650,,
13:32:23.442 -> 0      66,,
13:32:25.064 -> 113      1651,,
13:32:25.134 -> 102      65,,
13:32:25.315 -> 70      193,,
13:32:25.490 -> 70      146,,
13:32:25.637 -> 71      144,,
13:32:25.783 -> 72      143,,
13:32:25.926 -> 71      146,,
13:32:26.073 -> 70      145,,
13:32:26.253 -> 111      211,,
13:32:26.327 -> 45      66,,
13:32:27.986 -> 112      1648,,
13:32:28.056 -> 0      66,,
13:32:29.712 -> 113      1652,,
13:32:29.780 -> 102      64,,
13:32:29.994 -> 71      222,,
13:32:30.140 -> 70      146,,
13:32:30.283 -> 73      146,,
13:32:30.431 -> 71      146,,
13:32:30.571 -> 71      146,,
13:32:30.718 -> 70      145,,
13:32:30.904 -> 111      176,,
13:32:30.980 -> 50      64,,
13:32:32.617 -> 112      1650,,
13:32:32.690 -> 0      65,,
13:32:34.326 -> 113      1651,,
13:32:34.394 -> 102      66,,
13:32:34.506 -> 102      115,,
13:32:34.647 -> 72      144,,
13:32:34.795 -> 70      144,,
13:32:34.939 -> 73      147,,
13:32:35.085 -> 71      144,,
13:32:35.263 -> 71      145,,
13:32:35.409 -> 71      147,,
13:32:35.522 -> 111      140,,
13:32:35.592 -> 49      66,,
13:32:37.258 -> 112      1648,,
13:32:37.331 -> 0      66,,
13:32:38.969 -> 113      1652,,
13:32:39.042 -> 102      64,,
13:32:39.187 -> 70      149,,
13:32:39.336 -> 70      146,,
13:32:39.483 -> 70      145,,
13:32:39.623 -> 72      146,,
13:32:39.766 -> 72      145,,
13:32:39.916 -> 73      147,,
13:32:40.059 -> 70      144,,
13:32:40.170 -> 111      104,,
13:32:40.242 -> 54      65,,
13:32:41.862 -> 112      1650,,
13:32:41.934 -> 0      65,,
13:32:43.586 -> 113      1651,,
13:32:43.659 -> 102      64,,
13:32:43.842 -> 72      194,,
13:32:43.990 -> 71      146,,
13:32:44.133 -> 70      145,,
13:32:44.285 -> 71      147,,
13:32:44.430 -> 71      146,,
13:32:44.575 -> 72      145,,
13:32:44.790 -> 111      206,,
13:32:44.866 -> 54      64,,
13:32:46.503 -> 112      1650,,
13:32:46.575 -> 0      66,,
13:32:48.212 -> 113      1651,,
13:32:48.283 -> 102      65,,
13:32:48.532 -> 70      249,,
13:32:48.674 -> 70      146,,
13:32:48.823 -> 73      148,,
13:32:48.968 -> 70      145,,
13:32:49.115 -> 70      145,,
13:32:49.294 -> 71      147,,
13:32:49.440 -> 111      146,,
13:32:49.476 -> 49      66,,
13:32:51.146 -> 112      1649,,
13:32:51.221 -> 0      65,,
13:32:52.853 -> 113      1651,,
13:32:52.926 -> 102      65,,
13:32:53.107 -> 71      164,,
13:32:53.220 -> 72      145,,
13:32:53.403 -> 71      147,,
13:32:53.541 -> 73      147,,
13:32:53.683 -> 72      145,,
13:32:53.827 -> 72      145,,
13:32:53.973 -> 70      147,,
13:32:54.047 -> 111      88,,
13:32:54.122 -> 59      66,,
13:32:55.787 -> 112      1649,,
13:32:55.858 -> 0      66,,
13:32:57.490 -> 113      1650,,
13:32:57.563 -> 102      65,,
